id,lon,lat,time
534,146.89999,-37.249995,2017-02-10
535,147.57333333333335,-37.3,2017-02-10
536,147.54001,-37.33,2017-02-10
537,148.58,-37.12,2017-02-10
538,146.08667166666666,-36.35333333333334,2017-02-13
539,148.949995,-37.43999,2017-02-14
540,148.89999,-37.43999,2017-02-14
541,141.10001,-34.25999,2017-02-16
542,145.89714,-36.06571,2017-02-20
543,145.49999666666668,-36.6,2017-02-20
544,143.58,-35.31,2017-02-23
545,145.88856714285714,-36.07428285714286,2017-02-27
546,142.85000000000002,-37.949995,2017-02-27
547,145.14,-35.98,2017-02-27
548,148.889995,-37.18,2017-02-28
549,145.229995,-36.730000000000004,2017-02-28
550,145.407994,-36.095996,2017-02-28
551,145.88,-36.24,2017-02-28
552,145.28,-36.489999999999995,2017-02-28
553,148.39110555555555,-37.25555444444444,2017-03-01
554,144.669995,-36.48,2017-03-02
555,146.01110555555556,-36.07332888888889,2017-03-02
556,145.79999,-36.15,2017-03-02
557,145.6649975,-36.454995,2017-03-02
558,143.73999,-37.4,2017-03-04
559,145.8250075,-36.185,2017-03-05
560,145.550005,-36.42,2017-03-05
561,145.879999,-36.101998,2017-03-05
562,145.31,-36.64,2017-03-05
563,145.64999999999998,-36.089995,2017-03-05
564,146.03,-36.21,2017-03-05
565,145.26001,-36.77999666666667,2017-03-05
566,145.09000500000002,-36.069995000000006,2017-03-05
567,143.29000000000002,-37.86,2017-03-05
568,146.03,-36.14,2017-03-05
569,143.96999499999998,-37.4,2017-03-06
570,143.90999499999998,-37.3,2017-03-06
571,145.78,-36.17,2017-03-06
572,146.09333666666666,-36.07555222222222,2017-03-06
573,145.729995,-36.3,2017-03-06
574,145.12,-36.81,2017-03-06
575,145.79999,-36.079996666666666,2017-03-06
576,143.93,-37.35,2017-03-06
577,147.76001,-37.38,2017-03-07
578,147.6599975,-36.535,2017-03-07
579,147.88666333333333,-37.44666,2017-03-07
580,148.02,-37.58666,2017-03-07
581,147.644,-36.591996,2017-03-07
582,147.62,-36.78,2017-03-07
583,143.85000000000002,-38.66,2017-03-07
584,144.179995,-37.685,2017-03-07
585,142.96999499999998,-38.11,2017-03-07
586,145.42,-36.6,2017-03-07
587,145.43,-36.66,2017-03-07
588,143.14999999999998,-37.929995000000005,2017-03-07
589,145.050005,-36.11,2017-03-07
590,144.03,-37.3,2017-03-08
591,145.80666333333335,-36.06,2017-03-08
592,145.875998,-36.091996,2017-03-08
593,145.37,-36.64,2017-03-08
594,146.04001,-36.27999666666667,2017-03-08
595,146.36,-38,2017-03-08
596,145.550005,-36.06,2017-03-08
597,145.95999,-36.17,2017-03-08
598,146,-36.24,2017-03-08
599,145.64999999999998,-36.09999666666667,2017-03-08
600,148.07,-37.09999666666667,2017-03-09
601,147.94545,-37.26908909090909,2017-03-09
602,142.07333333333335,-37.64666666666667,2017-03-09
603,145.58571857142857,-36.19714285714286,2017-03-09
604,145.56,-36.04,2017-03-09
605,143.2,-38.05,2017-03-09
606,146.009995,-36.05999666666667,2017-03-09
607,148.175996,-37.028,2017-03-10
608,144.96999499999998,-35.98,2017-03-10
609,145.716665,-36.09999666666667,2017-03-10
610,147.028,-37.42799733333334,2017-03-11
611,147.112004,-37.516,2017-03-11
612,143.52999499999999,-37.88,2017-03-12
613,143.24999,-37.9,2017-03-12
614,145.1949975,-36.7399975,2017-03-12
615,143.907998,-37.368,2017-03-12
616,143.389995,-37.929995000000005,2017-03-12
617,144.32,-37.98,2017-03-12
618,145.949995,-36.19,2017-03-12
619,145.689995,-36.22,2017-03-12
620,142.90249624999998,-36.43749625,2017-03-13
621,143.64,-37.449995,2017-03-13
622,142.87,-37.9,2017-03-13
623,145.34000333333333,-35.98,2017-03-13
624,142.99,-38.079996666666666,2017-03-13
625,145.92499999999998,-36.2549975,2017-03-13
626,146.050005,-36.27999666666667,2017-03-13
627,145.08,-36.42,2017-03-13
628,145.95999,-36.089995,2017-03-13
629,142.25999,-36.489999999999995,2017-03-13
630,145.13,-36,2017-03-14
631,145.92181545454545,-36.24181636363637,2017-03-15
632,146.125,-36.0549975,2017-03-15
633,145.789995,-36.09999666666667,2017-03-15
634,145.95999,-36.32,2017-03-15
635,143.66,-37.42,2017-03-15
636,143.37333333333333,-37.72666666666667,2017-03-15
637,145.463996,-36.447994,2017-03-15
